id,name,darreichung,status,verweis,artikelnummer,pharmacode,ean,abgabekategorie,zulassungsnummer,csl
590,"Oenothera biennis Argento culta 0,1%",Tropfen zum Einnehmen 50 ml,Lieferbar,,124794,5142503,7611916152320,FM / SL,,2069591
591,Oleum aethereum Lavandulae 10%,Oleum 50 ml,Lieferbar,,124507,5060969,7611916153280,D / SL,415129,2070186
592,Oleum aethereum Rosmarini 10%,Oleum 50 ml,Lieferbar,,124506,5060975,7611916153273,D / SL,415140,2070186
593,Oleum Strophanthi 125 mg,Kapseln 100 st,Gestrichen,,124960,5773818,7611916154324,B,59844,
594,Olibanum comp.,Tropfen zum Einnehmen 20 ml,Lieferbar,,124174,1102051,7611916163715,D / SL,418525,2070401
595,Olibanum comp.,Injektionslösung 8 Amp.,Nicht lieferbar (Tropfen zum einnehmen lieferbar),,113019,4145824,7611916113314,B / SL,59616,8x2070602
596,Olivenit D6,Pulver zum Einnehmen 50 g,Lieferbar,,124617,7720128,7611916158902,D / -,403721,
597,Olivenit D8,Tropfen zum Einnehmen 50 ml,Lieferbar,,124765,5138329,7611916147265,FM / SL,,2069674
598,Olivenit D10,Tropfen zum Einnehmen 50 ml,Lieferbar,,205634,5136141,7611916147272,FM / SL,,2069734
599,Onopordon comp. digestio aquos 5%,Injektionslösung (s.c.) 8 Amp.,Lieferbar,,113027,4145907,7611916125423,B / SL,59539,8x2070565
600,Onopordon comp. 5% Digestio ethanolica,Tropfen zum Einnehmen 50 ml,Lieferbar,,124454,7812585,7611916357916,D / SL,67325,2070275
601,Onopordon comp. digestio aquos 1%,Injektionslösung (s.c.) 8 Amp.,Lieferbar,,113028,4145899,7611916125430,B / SL,59539,8x2070565
602,"Onopordon comp. digestio aquos 0,1%",Injektionslösung (s.c.) 8 Amp.,Lieferbar,,113029,4145876,7611916125447,B / SL,59539,8x2070565
603,Onopordon comp. Rh,Tabletten 50 g,Lieferbar,,124968,5138341,7611916155666,D / SL,59577,2070329
604,Onyx D20,Pulver zum Einnehmen 50 g,Lieferbar,,124726,5138401,7611916147371,FM / nach ALT,,
605,"Orthoklas 0,1%",Flüssigkeit zur Anwendung auf der Haut 100 ml,Lieferbar,,202984,5157999,7611916066788,FM / SL,,2070128
606,"Oxalis, Folium 30%",Crème 25 g,Lieferbar,,100654,7842047,7611916161728,FM / nach ALT,,
607,Oxalis folium 20%,Flüssigkeit zur Anwendung auf der Haut 100 ml,Lieferbar,,124515,4145965,7611916153365,D / SL,415126,2070128
608,Oxalis folium 10%,Crème 25 g,Wieder lieferbar,,100648,1166330,7611916165368,D / SL,419688,2070140
609,"Oxalis, Folium Rh D3",Ampullen 8 st,Gestrichen (Lieferbar: Tropfen D3 und D6),,113038,4146060,7611916113598,B,59758,8x2070631
610,"Oxalis, Folium D3",Tropfen zum Einnehmen 50 ml,Lieferbar,,205650,5138097,7611916147432,FM / SL,,2069674
611,"Oxalis, Folium D6",Tropfen zum Einnehmen 50 ml,Lieferbar,,205651,5138105,7611916147449,FM / SL,,2069674
612,Oxalis comp.,Tropfen zum Einnehmen 50 ml,Lieferbar,,124157,1001354,7611916161735,B / SL,59064,2070329
613,Oxalis comp.,Injektionslösung 8 Amp.,Lieferbar,,113049,4145913,7611916113710,B / SL,59299,8x2070565
614,Pankreas D6,Tropfen zum Einnehmen 50 ml,Lieferbar,,124870,5138217,7611916147487,FM / SL,,2069674
615,Passiflora incarnata comp.,Tropfen zum Einnehmen 50 ml,Lieferbar,,124955,5060998,7611916154096,D / SL,415322,2070275
616,Pertudoron®,Tropfen zum Einnehmen 20 ml,Wieder lieferbar,,4560,7767098,7680174970014,D / -,17497,
617,"Phosphorus 0,1%",Oel zur Anwendung auf der Haut 10 ml,Lieferbar,,124956,,7611916154102,FM / nach ALT,,
618,Phosphorus D5,Tropfen zum Einnehmen 20 ml,Lieferbar,,124167,1138138,7611916163319,B / SL,59617,2069651
619,Phosphorus D6,Tropfen zum Einnehmen 20 ml,Lieferbar,,124168,1132714,7611916163326,D / SL,59617,2069651
620,Phosphorus D8,Injektionslösung 8 Amp.,Gestrichen (Lieferbar: Tropfen D8),,114018,4146195,7611916113895,B,404608,8x2070631
621,Phosphorus D8,Tropfen zum Einnehmen 50 ml,Lieferbar,,206078,1034093,7611916163029,FM / SL,,2069674
622,Phosphorus D20,Injektionslösung 8 Amp.,Gestrichen (Lieferbar: D25 Dilution),,124288,4146120,7611916151194,B,404608,8x2070654
623,Phosphorus D25,Tropfen zum Einnehmen 50 ml,Lieferbar,,206074,1034100,7611916162985,FM / SL,,2069734
624,Phosphorus D30,Tropfen zum Einnehmen 50 ml,Lieferbar,,206076,1034102,7611916163005,FM / SL,,2069800
625,Phosphorus D5 / Tartarus stibiatus D3,Tropfen zum Einnehmen 20 ml,Lieferbar,,124161,1002431,7611916162169,B / SL,59508,2070306
626,Phosphorus D5 / Tartarus stibiatus D3,Globuli 4 g,Gestrichen (Lieferbar: Tropfen),,114190,1607158,7611916114724,D,414836,2070298
627,Phosphorus D6 / Malva 5%,Tropfen zum Einnehmen 50 ml,Lieferbar,,124814,1034092,7611916163012,FM / SL,,2069591
628,Phosphorus D25 / Malva 5%,Tropfen zum Einnehmen 50 ml,Lieferbar,,124432,5061006,7611916152979,D / SL,414901,2070370
629,Phosphorus D25 / Sulfur D25 aa,Tropfen zum Einnehmen 50 ml,Lieferbar,,206075,1034101,7611916162992,FM / SL,,2070370
630,Plantago lanceolata 10%,Crème 25 g,Lieferbar,,100656,1008658,7611916161773,FM / nach ALT,,
631,Plantago comp.,Salbe 25 g,Nicht lieferbar (Plantago lanceolata 10% Crème lieferbar.),,2414,5034133,7611916150852,D / SL,411441,2070482
632,Plantago - Primula cum Hyoscyamo,Tropfen zum Einnehmen 50 ml,Lieferbar,,205680,5130121,7611916147739,FM / SL,,2070275
633,Plumbum mellitum D12,Tabletten 50 g,Lieferbar,,124433,5061041,7611916152986,D / SL,417121,2069734
634,Plumbum mellitum D12,Tropfen zum Einnehmen 50 ml,Lieferbar,,124909,1035586,7611916163821,FM / SL,,2069734
635,Plumbum mellitum D20,Injektionslösung 8 Amp.,Lieferbar,,124285,4146255,7611916151163,B / SL,404621,8x2070654
636,Plumbum mellitum D20,Tropfen zum Einnehmen 50 ml,Lieferbar,,124796,1030877,7611916163036,FM / SL,,2069734
637,Plumbum mellitum D30,Tropfen zum Einnehmen 50 ml,Lieferbar,,205687,5145329,7611916147807,FM / SL,,2069800
638,"Plumbum metallicum 0,4%",Salbe 23 g,Lieferbar,,100399,1146315,7611916164538,FM / nach ALT,,
639,Plumbum metallicum praeparatum D6,Pulver zum Einnehmen 50 g,Lieferbar,,124618,7701007,7611916158919,D / -,404143,
